PlayerID,Season,Team,Lg,Salary,
player1,1996-97,VAN,NBA,2186000,
player1,1999-00,VAN,NBA,9000000,
player1,2000-01,VAN,NBA,10130000,
player1,2001-02,ATL,NBA,11250000,
player1,2002-03,ATL,NBA,12375000,
player1,2003-04,ATL,NBA,13500000,
player1,2004-05,POR,NBA,14625000,
player1,2005-06,SAC,NBA,5000000,
player1,2006-07,SAC,NBA,5400000,
player1,2007-08,SAC,NBA,5800000,
player1,2009-10,SAC,NBA,6600000,
player10,2006-07,DAL,NBA,906480,
player10,2007-08,NJN,NBA,974400,
player10,2008-09,NJN,NBA,1042440,
player10,2010-11,MIN,NBA,83305,
player100,2014-15,DEN,NBA,35000,
player100,2014-15,UTA,NBA,29843,
player1000,2014-15,PHI,NBA,507336,
player1000,2015-16,PHI,NBA,845059,
player1000,2015-16,DEN,NBA,285489,
player1001,2002-03,MIL,NBA,349458,
player1001,2003-04,LAL,NBA,563679,
player1001,2004-05,CHA,NBA,695046,
player1001,2005-06,SAC,NBA,719373,
player1001,2006-07,DEN,NBA,771331,
player1002,2010-11,CLE,NBA,500000,
player1002,2011-12,CLE,NBA,762195,
player1002,2012-13,CLE,NBA,341756,
player1003,2010-11,MIL,NBA,1731960,
player1003,2011-12,MIL,NBA,1861920,
player1003,2012-13,MIL,NBA,1991760,
player1003,2013-14,MIL,NBA,3053368,
player1003,2014-15,MIL,NBA,11000000,
player1003,2015-16,MIL,NBA,1865547,
player1004,2005-06,SAS,NBA,24315,
player1007,2001-02,NJN,NBA,332817,
player1007,2002-03,NJN,NBA,512435,
player1007,2003-04,NJN,NBA,800000,
player1007,2004-05,NJN,NBA,900000,
player1007,2005-06,BOS,NBA,2586207,
player1007,2006-07,BOS,NBA,2793103,
player1007,2007-08,BOS,NBA,3000000,
player1007,2008-09,BOS,NBA,3206897,
player1007,2009-10,BOS,NBA,3413793,
player1007,2010-11,CHI,NBA,1229255,
player1007,2011-12,CHI,NBA,1352181,
player1008,2005-06,SAS,NBA,24315,
player1009,2006-07,CHI,NBA,55000,
player101,2013-14,CLE,NBA,5324280,
player101,2014-15,MIN,NBA,5563920,
player101,2015-16,MIN,NBA,3650000,
player101,2015-16,TOR,NBA,947276,
player1010,2013-14,ATL,NBA,1348200,
player1010,2014-15,ATL,NBA,1690680,
player1010,2015-16,ATL,NBA,1763400,
player1011,2007-08,HOU,NBA,2910000,
player1011,2008-09,HOU,NBA,3100667,
player1011,2009-10,HOU,NBA,3375600,
player1011,2010-11,HOU,NBA,7775378,
player1011,2011-12,HOU,NBA,8591793,
player1011,2012-13,HOU,NBA,5259697,
player1011,2012-13,PHO,NBA,4148510,
player1011,2013-14,IND,NBA,4508504,
player1011,2014-15,HOU,NBA,6541000,
player1011,2014-15,HOU,NBA,6172538,
player1011,2014-15,IND,NBA,4868499,
player1011,2015-16,TOR,NBA,3000000,
player1012,2012-13,ATL,NBA,473604,
player1012,2013-14,ATL,NBA,788872,
player1012,2014-15,ATL,NBA,3333333,
player1012,2015-16,ATL,NBA,3333333,
player1013,2006-07,CHI,NBA,1679280,
player1013,2007-08,CHI,NBA,1805160,
player1013,2008-09,OKC,NBA,1931160,
player1013,2009-10,OKC,NBA,2759628,
player1013,2010-11,OKC,NBA,3250000,
player1013,2011-12,OKC,NBA,3300000,
player1013,2012-13,OKC,NBA,3600000,
player1013,2013-14,OKC,NBA,3900000,
player1013,2014-15,ATL,NBA,4150000,
player1013,2015-16,ATL,NBA,4000000,
player1014,2011-12,MEM,NBA,550000,
player1014,2012-13,CLE,NBA,762195,
player1015,2006-07,SEA,NBA,1958640,
