Team,Alias,Location,Team Names,Seasons,Record,Playoff Appearances,Championships,
Atlanta Hawks,ATL,"Atlanta, Georgia","Atlanta Hawks, St. Louis Hawks, Milwaukee Hawks, Tri-Cities Blackhawks","68;    1949-50 to 2016-17","2682-2680, .500 W-L%","45","1",
Boston Celtics,BOS,"Boston, Massachusetts","Boston Celtics","71;    1946-47 to 2016-17","3258-2277, .589 W-L%","53","17",
Brooklyn Nets,NJN,"Brooklyn, New York","Brooklyn Nets, New Jersey Nets, New York Nets, New Jersey Americans","50 (41 NBA & 9 ABA);    1967-68 to 2016-17","1743-2289, .432 W-L%      (1369-1919 NBA & 374-370 ABA)","26      (19 NBA & 7 ABA)","2      (0 NBA & 2 ABA)",
Charlotte Hornets,CHA,"Charlotte, North Carolina","Charlotte Bobcats, Charlotte Hornets","27;    1988-89 to 2016-17","940-1200, .439 W-L%","10","0",
Chicago Bulls,CHI,"Chicago, Illinois","Chicago Bulls","51;    1966-67 to 2016-17","2143-1965, .522 W-L%","34","6",
Cleveland Cavaliers,CLE,"Cleveland, Ohio","Cleveland Cavaliers","47;    1970-71 to 2016-17","1767-2012, .468 W-L%","20","1",
Dallas Mavericks,DAL,"Dallas, Texas","Dallas Mavericks","37;    1980-81 to 2016-17","1504-1456, .508 W-L%","21","1",
Denver Nuggets,DEN,"Denver, Colorado","Denver Nuggets, Denver Rockets","50 (41 NBA & 9 ABA);    1967-68 to 2016-17","2001-2031, .496 W-L%      (1588-1700 NBA & 413-331 ABA)","33      (24 NBA & 9 ABA)","0      (0 NBA & 0 ABA)",
Detroit Pistons,DET,"Detroit, Michigan","Detroit Pistons, Fort Wayne Pistons","69;    1948-49 to 2016-17","2643-2782, .487 W-L%","41","3",
Golden State Warriors,GSW,"Oakland, California","Golden State Warriors, San Francisco Warriors, Philadelphia Warriors","71;    1946-47 to 2016-17","2637-2893, .477 W-L%","32","4",
Houston Rockets,HOU,"Houston, Texas","Houston Rockets, San Diego Rockets","50;    1967-68 to 2016-17","2092-1936, .519 W-L%","30","2",
Indiana Pacers,IND,"Indianapolis, Indiana","Indiana Pacers","50 (41 NBA & 9 ABA);    1967-68 to 2016-17","2062-1970, .511 W-L%      (1635-1653 NBA & 427-317 ABA)","32      (23 NBA & 9 ABA)","3      (0 NBA & 3 ABA)",
Los Angeles Clippers,LAC,"Los Angeles, California","Los Angeles Clippers, San Diego Clippers, Buffalo Braves","47;    1970-71 to 2016-17","1504-2276, .398 W-L%","12","0",
Los Angeles Lakers,LAL,"Los Angeles, California","Los Angeles Lakers, Minneapolis Lakers","69;    1948-49 to 2016-17","3254-2173, .600 W-L%","60","16",
Memphis Grizzlies,MEM,"Memphis, Tennessee","Memphis Grizzlies, Vancouver Grizzlies","22;    1995-96 to 2016-17","728-1004, .420 W-L%","9","0",
Miami Heat,MIA,"Miami, Florida","Miami Heat","29;    1988-89 to 2016-17","1195-1110, .518 W-L%","19","3",
Milwaukee Bucks,MIL,"Milwaukee, Wisconsin","Milwaukee Bucks","49;    1968-69 to 2016-17","2008-1935, .509 W-L%","28","1",
Minnesota Timberwolves,MIN,"Minnesota, Minnesota","Minnesota Timberwolves","28;    1989-90 to 2016-17","869-1354, .391 W-L%","8","0",
New Orleans Pelicans,NOH,"New Orleans, Louisiana","New Orleans Pelicans, New Orleans/Oklahoma City Hornets, New Orleans Hornets","15;    2002-03 to 2016-17","551-638, .463 W-L%","6","0",
New York Knicks,NYK,"New York, New York","New York Knicks","71;    1946-47 to 2016-17","2724-2808, .492 W-L%","42","2",
Oklahoma City Thunder,OKC,"Oklahoma City, Oklahoma","Oklahoma City Thunder, Seattle SuperSonics","50;    1967-68 to 2016-17","2171-1856, .539 W-L%","28","1",
Orlando Magic,ORL,"Orlando, Florida","Orlando Magic","28;    1989-90 to 2016-17","1083-1141, .487 W-L%","14","0",
Philadelphia 76ers,PHI,"Philadelphia, Pennsylvania","Philadelphia 76ers, Syracuse Nationals","68;    1949-50 to 2016-17","2747-2613, .512 W-L%","47","3",
Phoenix Suns,PHO,"Phoenix, Arizona","Phoenix Suns","49;    1968-69 to 2016-17","2140-1805, .542 W-L%","29","0",
Portland Trail Blazers,POR,"Portland, Oregon","Portland Trail Blazers","47;    1970-71 to 2016-17","2014-1766, .533 W-L%","32","1",
Sacramento Kings,SAC,"Sacramento, California","Sacramento Kings, Kansas City Kings, Kansas City-Omaha Kings, Cincinnati Royals, Rochester Royals","69;    1948-49 to 2016-17","2488-2938, .459 W-L%","29","1",
San Antonio Spurs,SAS,"San Antonio, Texas","San Antonio Spurs, Texas Chaparrals, Dallas Chaparrals","50 (41 NBA & 9 ABA);    1967-68 to 2016-17","2427-1605, .602 W-L%      (2049-1239 NBA & 378-366 ABA)","44      (36 NBA & 8 ABA)","5      (5 NBA & 0 ABA)",
Toronto Raptors,TOR,"Toronto, Canada","Toronto Raptors","22;    1995-96 to 2016-17","767-964, .443 W-L%","8","0",
Utah Jazz,UTA,"Salt Lake City, Utah","Utah Jazz, New Orleans Jazz","43;    1974-75 to 2016-17","1850-1603, .536 W-L%","25","0",
Washington Wizards,WAS,"Washington, District of Columbia","Washington Wizards, Washington Bullets, Capital Bullets, Baltimore Bullets, Chicago Zephyrs, Chicago Packers","56;    1961-62 to 2016-17","2038-2468, .452 W-L%","27","1",
